ts,run,truth,pred,config,src,dst,proto
1749423876.339026,1,0,0,benign,,,ARP
1749423876.368477,1,0,0,benign,,,ARP
1749423876.398953,1,0,0,benign,10.1.0.21,10.0.0.21,IP
1749423876.407820,1,0,0,benign,,,ARP
1749423876.465650,1,0,0,benign,,,ARP
1749423876.502178,1,0,0,benign,10.0.0.21,10.1.0.21,IP
1749423877.554470,1,0,0,benign,10.1.0.21,10.0.0.21,IP
1749423877.577167,1,0,0,benign,10.0.0.21,10.1.0.21,IP
1749423878.600877,1,0,0,benign,10.1.0.21,10.0.0.21,IP
1749423878.615048,1,0,0,benign,10.0.0.21,10.1.0.21,IP
1749423879.630639,1,0,0,benign,10.1.0.21,10.0.0.21,IP
1749423879.643316,1,0,0,benign,10.0.0.21,10.1.0.21,IP
1749423880.700286,1,0,0,benign,10.1.0.21,10.0.0.21,IP
1749423880.756841,1,0,0,benign,10.0.0.21,10.1.0.21,IP
1749423882.865292,1,1,0,pps1_nop2,,,ARP
1749423882.904694,1,1,0,pps1_nop2,,,ARP
1749423882.988670,1,1,0,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423883.018526,1,1,0,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423883.023398,1,1,0,pps1_nop2,10.0.0.21,10.1.0.21,IP
1749423883.130622,1,1,0,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423883.135537,1,1,0,pps1_nop2,10.0.0.21,10.1.0.21,IP
1749423883.169404,1,1,0,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423883.184181,1,1,0,pps1_nop2,10.0.0.21,10.1.0.21,IP
1749423883.194566,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423883.227501,1,1,1,pps1_nop2,10.0.0.21,10.1.0.21,IP
1749423883.264880,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423883.269009,1,1,1,pps1_nop2,10.0.0.21,10.1.0.21,IP
1749423883.277076,1,1,1,pps1_nop2,10.0.0.21,10.1.0.21,IP
1749423883.298321,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423883.362930,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423883.436551,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423883.489211,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423883.568200,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423883.627065,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423883.690866,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423883.752537,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423883.826862,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423883.886525,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423883.951383,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423884.026078,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423884.044814,1,1,1,pps1_nop2,10.0.0.21,10.1.0.21,IP
1749423884.087536,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423884.156353,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423884.219937,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423884.289799,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423884.361628,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423884.426543,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423884.481771,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423884.546059,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423884.609008,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423884.708817,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423884.750211,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423884.994354,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423885.132463,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423885.136967,1,1,1,pps1_nop2,10.0.0.21,10.1.0.21,IP
1749423885.151676,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423885.163816,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423885.290544,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423885.337368,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423885.386573,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423885.408572,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423885.638195,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423885.657290,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423885.762096,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423885.772275,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423885.825832,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423885.936830,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423885.982264,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423886.016872,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423886.098009,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423886.102091,1,1,1,pps1_nop2,10.0.0.21,10.1.0.21,IP
1749423886.108148,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423886.252483,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423886.287832,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423886.305540,1,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423887.892977,2,0,1,benign,10.1.0.21,10.0.0.21,IP
1749423887.950085,2,0,1,benign,10.0.0.21,10.1.0.21,IP
1749423888.970438,2,0,0,benign,10.1.0.21,10.0.0.21,IP
1749423889.002106,2,0,0,benign,10.0.0.21,10.1.0.21,IP
1749423890.010785,2,0,0,benign,10.1.0.21,10.0.0.21,IP
1749423890.020301,2,0,0,benign,10.0.0.21,10.1.0.21,IP
1749423891.070305,2,0,0,benign,10.1.0.21,10.0.0.21,IP
1749423891.080189,2,0,0,benign,10.0.0.21,10.1.0.21,IP
1749423892.119379,2,0,0,benign,10.1.0.21,10.0.0.21,IP
1749423892.139325,2,0,0,benign,10.0.0.21,10.1.0.21,IP
1749423893.176354,2,0,0,benign,10.1.0.21,10.0.0.21,IP
1749423893.244042,2,0,0,benign,10.0.0.21,10.1.0.21,IP
1749423894.378093,2,1,0,pps1_nop2,,,ARP
1749423894.380337,2,1,0,pps1_nop2,,,ARP
1749423894.465572,2,1,0,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423894.566884,2,1,0,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423894.571313,2,1,0,pps1_nop2,10.0.0.21,10.1.0.21,IP
1749423894.589623,2,1,0,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423894.686659,2,1,0,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423894.699837,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423894.744569,2,1,1,pps1_nop2,10.0.0.21,10.1.0.21,IP
1749423894.754372,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423894.817604,2,1,1,pps1_nop2,10.0.0.21,10.1.0.21,IP
1749423894.818666,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423894.885903,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423894.968998,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423894.987417,2,1,1,pps1_nop2,10.0.0.21,10.1.0.21,IP
1749423895.037215,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423895.121953,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423895.152271,2,1,1,pps1_nop2,10.0.0.21,10.1.0.21,IP
1749423895.164597,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423895.226158,2,1,1,pps1_nop2,10.0.0.21,10.1.0.21,IP
1749423895.227535,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423895.317464,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423895.551635,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423895.574082,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423895.642771,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423895.646746,2,1,1,pps1_nop2,10.0.0.21,10.1.0.21,IP
1749423895.710799,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423895.717702,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423895.760366,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423895.807764,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423895.858623,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423895.915894,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423895.930383,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423895.994734,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423896.045051,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423896.119020,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423896.189350,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423896.255906,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423896.321147,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423896.379843,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423896.447576,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423896.505472,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423896.570399,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423896.632083,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423896.731138,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423896.734086,2,1,1,pps1_nop2,10.0.0.21,10.1.0.21,IP
1749423896.751518,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423896.810266,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423896.879072,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423896.947624,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423897.004977,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423897.068356,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423897.137101,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423897.203283,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423897.277044,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423897.348166,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423897.417249,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423897.524581,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423897.589237,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423897.594521,2,1,1,pps1_nop2,10.0.0.21,10.1.0.21,IP
1749423897.628813,2,1,1,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423899.125986,3,0,1,benign,10.1.0.21,10.0.0.21,IP
1749423899.136762,3,0,1,benign,10.0.0.21,10.1.0.21,IP
1749423900.182441,3,0,0,benign,10.1.0.21,10.0.0.21,IP
1749423900.397086,3,0,0,benign,10.0.0.21,10.1.0.21,IP
1749423901.402995,3,0,0,benign,10.1.0.21,10.0.0.21,IP
1749423901.435127,3,0,0,benign,10.0.0.21,10.1.0.21,IP
1749423902.486495,3,0,0,benign,10.1.0.21,10.0.0.21,IP
1749423902.619108,3,0,0,benign,10.0.0.21,10.1.0.21,IP
1749423903.736933,3,0,0,benign,10.1.0.21,10.0.0.21,IP
1749423903.751153,3,0,0,benign,10.0.0.21,10.1.0.21,IP
1749423905.597090,3,1,0,pps1_nop2,,,ARP
1749423905.642803,3,1,0,pps1_nop2,,,ARP
1749423905.653690,3,1,0,pps1_nop2,10.1.0.21,10.0.0.21,IP
1749423905.763663,3,1,0,pps1_nop2,10.1.0.21,10.0.0.21,IP
