config,tp,tn,fp,fn,acc,prec,rec,f1
benign,0,1698,190,0,0.899364406779661,0.0,0.0,0.0
pps1_nop2,1046,0,0,182,0.8517915309446255,1.0,0.8517915309446255,0.9199648197009674
pps1_nop3,748,0,0,177,0.8086486486486486,1.0,0.8086486486486486,0.8942020322773461
pps1_nop4,435,0,0,314,0.5807743658210948,1.0,0.5807743658210948,0.7347972972972973
pps2_nop2,1936,0,0,238,0.890524379024839,1.0,0.890524379024839,0.9420924574209246
pps2_nop3,1368,0,0,206,0.8691232528589581,1.0,0.8691232528589581,0.9299796057104011
pps2_nop4,809,0,0,422,0.6571892770105605,1.0,0.6571892770105605,0.7931372549019607
pps3_nop2,2156,0,0,964,0.691025641025641,1.0,0.691025641025641,0.8172858225928734
pps3_nop3,1961,0,0,257,0.8841298467087466,1.0,0.8841298467087466,0.9385020339794209
pps3_nop4,1161,0,0,535,0.6845518867924528,1.0,0.6845518867924528,0.8127406370318516
