ts,run,truth,pred,config,delay,src,dst,proto
1749475507.007186,1,0,0,benign,0.0,,,ARP
1749475507.140544,1,0,0,benign,0.0,,,ARP
1749475507.272601,1,0,0,benign,0.0,10.1.0.21,10.0.0.21,IP
1749475507.295295,1,0,0,benign,0.0,,,ARP
1749475507.337029,1,0,0,benign,0.0,,,ARP
1749475507.472484,1,0,0,benign,0.0,10.0.0.21,10.1.0.21,IP
1749475508.488608,1,0,0,benign,0.0,10.1.0.21,10.0.0.21,IP
1749475508.546375,1,0,0,benign,0.0,10.0.0.21,10.1.0.21,IP
1749475509.606217,1,0,0,benign,0.0,10.1.0.21,10.0.0.21,IP
1749475509.615550,1,0,0,benign,0.0,10.0.0.21,10.1.0.21,IP
1749475510.642415,1,0,0,benign,0.0,10.1.0.21,10.0.0.21,IP
1749475510.707047,1,0,0,benign,0.0,10.0.0.21,10.1.0.21,IP
1749475511.724447,1,0,0,benign,0.0,10.1.0.21,10.0.0.21,IP
1749475511.886048,1,0,0,benign,0.0,10.0.0.21,10.1.0.21,IP
1749475513.582408,1,1,0,pps1_nop2_d0,0.0,,,ARP
1749475513.587745,1,1,0,pps1_nop2_d0,0.0,,,ARP
1749475513.610002,1,1,0,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749475513.722564,1,1,0,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749475513.726706,1,1,0,pps1_nop2_d0,0.0,10.0.0.21,10.1.0.21,IP
1749475513.740665,1,1,0,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749475513.820092,1,1,0,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749475513.895043,1,1,0,pps1_nop2_d0,0.0,10.0.0.21,10.1.0.21,IP
1749475513.951591,1,1,0,pps1_nop2_d0,0.0,10.0.0.21,10.1.0.21,IP
1749475513.981027,1,1,0,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749475514.003409,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
