config,tp,tn,fp,fn,acc,prec,rec,f1
benign,0,1169,186,1,0.862094395280236,0.0,0.0,0.0
pps1_nop2_d0,1668,0,0,214,0.8862911795961743,1.0,0.8862911795961743,0.9397183098591549
pps1_nop2_d0.01,840,0,0,106,0.8879492600422833,1.0,0.8879492600422833,0.9406494960806271
pps1_nop2_d0.05,862,0,0,112,0.8850102669404517,1.0,0.8850102669404517,0.9389978213507625
pps1_nop3_d0,1120,0,0,238,0.8247422680412371,1.0,0.8247422680412371,0.903954802259887
pps1_nop3_d0.01,550,0,0,129,0.8100147275405007,1.0,0.8100147275405007,0.8950366151342555
pps1_nop3_d0.05,564,0,0,136,0.8057142857142857,1.0,0.8057142857142857,0.8924050632911392
pps1_nop4_d0,911,0,0,167,0.8450834879406308,1.0,0.8450834879406308,0.9160382101558572
pps1_nop4_d0.01,453,0,0,87,0.8388888888888889,1.0,0.8388888888888889,0.9123867069486404
pps1_nop4_d0.05,464,0,0,94,0.8315412186379928,1.0,0.8315412186379928,0.9080234833659491
pps2_nop2_d0,3207,0,0,278,0.9202295552367289,1.0,0.9202295552367289,0.9584578601315002
pps2_nop2_d0.01,1607,0,0,146,0.9167142042213349,1.0,0.9167142042213349,0.9565476190476191
pps2_nop2_d0.05,1632,0,2,181,0.8991735537190083,0.9987760097919217,0.900165471594043,0.9469103568320278
pps2_nop3_d0,2101,0,0,336,0.8621255642183012,1.0,0.8621255642183012,0.9259585720581754
pps2_nop3_d0.01,1052,0,0,166,0.8637110016420362,1.0,0.8637110016420362,0.9268722466960353
pps2_nop3_d0.05,1098,0,0,170,0.8659305993690851,1.0,0.8659305993690851,0.9281487743026204
pps2_nop4_d0,1673,0,0,211,0.888004246284501,1.0,0.888004246284501,0.9406803486083778
pps2_nop4_d0.01,843,0,0,100,0.8939554612937434,1.0,0.8939554612937434,0.9440089585666294
pps2_nop4_d0.05,859,0,0,117,0.8801229508196722,1.0,0.8801229508196722,0.9362397820163487
pps3_nop2_d0,3759,0,0,312,0.9233603537214443,1.0,0.9233603537214443,0.9601532567049809
pps3_nop2_d0.01,2380,0,0,171,0.93296746373971,1.0,0.93296746373971,0.9653214358142365
pps3_nop2_d0.05,1986,0,0,668,0.7483044461190655,1.0,0.7483044461190655,0.8560344827586207
pps3_nop3_d0,1558,0,0,200,0.8862343572241184,1.0,0.8862343572241184,0.9396863691194209
pps3_nop3_d0.01,1554,0,0,201,0.8854700854700854,1.0,0.8854700854700854,0.9392565729827742
pps3_nop3_d0.05,1621,0,0,205,0.8877327491785323,1.0,0.8877327491785323,0.9405279953582826
pps3_nop4_d0,1229,0,0,122,0.9096965210954848,1.0,0.9096965210954848,0.9527131782945737
pps3_nop4_d0.01,1222,0,0,122,0.9092261904761905,1.0,0.9092261904761905,0.9524551831644583
pps3_nop4_d0.05,1265,0,0,131,0.9061604584527221,1.0,0.9061604584527221,0.9507703870725291
