ts,dst,port,bytes,rtt
1749476460.515347,10.0.0.21,8888,19,0.1150
1749476473.470150,10.0.0.21,8888,19,0.0656
1749476486.446079,10.0.0.21,8888,19,0.0744
1749476499.446493,10.0.0.21,8888,19,0.0306
1749476512.403394,10.0.0.21,8888,19,0.0149
1749476524.749543,10.0.0.21,8888,19,0.1042
1749476537.640642,10.0.0.21,8888,19,0.0561
1749476550.176956,10.0.0.21,8888,19,0.3182
1749476563.774789,10.0.0.21,8888,19,0.2487
1749476576.535914,10.0.0.21,8888,19,0.0373
1749476589.517345,10.0.0.21,8888,19,0.0350
1749476601.111150,10.0.0.21,8888,19,0.0700
1749476613.072207,10.0.0.21,8888,19,0.1183
1749476624.243471,10.0.0.21,8888,19,0.1695
1749476635.599626,10.0.0.21,8888,19,0.0344
1749476647.212772,10.0.0.21,8888,19,0.1266
1749476658.683733,10.0.0.21,8888,19,0.0354
1749476670.034690,10.0.0.21,8888,19,0.1476
1749476682.260722,10.0.0.21,8888,19,0.1097
1749476693.738930,10.0.0.21,8888,19,0.0439
1749476704.629909,10.0.0.21,8888,19,0.0876
1749476715.772818,10.0.0.21,8888,19,0.0814
1749476726.706778,10.0.0.21,8888,19,0.2206
1749476737.009193,10.0.0.21,8888,19,0.0594
1749476747.378128,10.0.0.21,8888,19,0.0149
1749476757.941261,10.0.0.21,8888,19,0.1071
1749476768.383123,10.0.0.21,8888,19,0.0997
1749476779.177025,10.0.0.21,8888,19,0.0925
1749476790.044935,10.0.0.21,8888,19,0.1528
1749476800.479277,10.0.0.21,8888,19,0.1124
1749476810.913135,10.0.0.21,8888,19,0.1661
1749476826.790068,10.0.0.21,8888,19,0.1398
1749476844.875314,10.0.0.21,8888,19,0.1184
1749476862.643089,10.0.0.21,8888,19,0.1187
1749476879.177256,10.0.0.21,8888,19,0.0765
1749476895.049252,10.0.0.21,8888,19,0.0502
1749476911.701189,10.0.0.21,8888,19,0.1076
1749476928.242269,10.0.0.21,8888,19,0.0747
1749476945.203251,10.0.0.21,8888,19,0.0326
1749476962.547069,10.0.0.21,8888,19,0.0680
1749476979.969176,10.0.0.21,8888,19,0.1151
1749476993.959150,10.0.0.21,8888,19,0.0420
1749477008.087203,10.0.0.21,8888,19,0.0611
1749477021.804088,10.0.0.21,8888,19,0.0673
1749477035.547300,10.0.0.21,8888,19,0.1658
1749477050.352726,10.0.0.21,8888,19,0.1339
1749477064.510792,10.0.0.21,8888,19,0.2464
1749477078.456908,10.0.0.21,8888,19,0.1132
1749477093.256852,10.0.0.21,8888,19,0.1014
1749477106.676777,10.0.0.21,8888,19,0.2062
1749477120.600682,10.0.0.21,8888,19,0.1123
1749477133.858521,10.0.0.21,8888,19,0.0560
1749477146.865791,10.0.0.21,8888,19,0.1461
1749477160.555383,10.0.0.21,8888,19,0.0688
1749477173.334745,10.0.0.21,8888,19,0.1664
1749477186.196343,10.0.0.21,8888,19,0.0394
1749477199.153377,10.0.0.21,8888,19,0.0697
1749477211.490197,10.0.0.21,8888,19,0.1750
1749477224.367989,10.0.0.21,8888,19,0.1354
1749477237.405351,10.0.0.21,8888,19,0.1043
