ts,src,bytes,service
1749483841.059975,10.1.0.21,19,0.0001
1749483854.122521,10.1.0.21,19,0.0001
1749483867.062588,10.1.0.21,19,0.0001
1749483881.118397,10.1.0.21,19,0.0001
1749483895.145380,10.1.0.21,19,0.0001
1749483909.234874,10.1.0.21,19,0.0001
1749483922.347750,10.1.0.21,19,0.0001
1749483936.468742,10.1.0.21,19,0.0001
1749483949.474328,10.1.0.21,19,0.0000
1749483963.636494,10.1.0.21,19,0.0000
1749483976.581290,10.1.0.21,19,0.0001
1749483988.292181,10.1.0.21,19,0.0001
1749484000.521461,10.1.0.21,19,0.0001
1749484012.993404,10.1.0.21,19,0.0001
1749484025.272384,10.1.0.21,19,0.0001
1749484037.585315,10.1.0.21,19,0.0001
1749484049.210351,10.1.0.21,19,0.0000
1749484060.354000,10.1.0.21,19,0.0000
1749484071.941017,10.1.0.21,19,0.0000
1749484083.942102,10.1.0.21,19,0.0001
1749484095.489372,10.1.0.21,19,0.0000
1749484106.001063,10.1.0.21,19,0.0000
1749484117.211510,10.1.0.21,19,0.0000
1749484128.473368,10.1.0.21,19,0.0001
1749484139.715429,10.1.0.21,19,0.0000
1749484150.583814,10.1.0.21,19,0.0001
1749484162.097748,10.1.0.21,19,0.0000
1749484173.287657,10.1.0.21,19,0.0000
1749484184.226594,10.1.0.21,19,0.0001
1749484195.428506,10.1.0.21,19,0.0001
1749484206.602410,10.1.0.21,19,0.0000
1749484224.120117,10.1.0.21,19,0.0000
1749484240.253796,10.1.0.21,19,0.0001
1749484258.538891,10.1.0.21,19,0.0001
1749484275.839292,10.1.0.21,19,0.0000
1749484292.668517,10.1.0.21,19,0.0001
1749484309.706863,10.1.0.21,19,0.0000
1749484328.744666,10.1.0.21,19,0.0001
1749484345.099524,10.1.0.21,19,0.0001
1749484361.470330,10.1.0.21,19,0.0001
1749484378.630074,10.1.0.21,19,0.0001
1749484393.290001,10.1.0.21,19,0.0000
1749484408.484114,10.1.0.21,19,0.0001
1749484423.448560,10.1.0.21,19,0.0001
1749484438.360847,10.1.0.21,19,0.0001
1749484453.207659,10.1.0.21,19,0.0000
1749484467.076954,10.1.0.21,19,0.0001
1749484480.879738,10.1.0.21,19,0.0001
1749484494.253972,10.1.0.21,19,0.0001
1749484508.750261,10.1.0.21,19,0.0000
1749484522.556327,10.1.0.21,19,0.0000
1749484535.657559,10.1.0.21,19,0.0001
1749484548.669955,10.1.0.21,19,0.0001
1749484561.442910,10.1.0.21,19,0.0000
1749484574.098606,10.1.0.21,19,0.0000
1749484587.867592,10.1.0.21,19,0.0000
1749484601.687335,10.1.0.21,19,0.0001
1749484615.420460,10.1.0.21,19,0.0001
1749484627.987969,10.1.0.21,19,0.0001
1749484640.868996,10.1.0.21,19,0.0001
1749484653.702966,10.1.0.21,19,0.0001
1749484675.841567,10.1.0.21,19,0.0001
1749484696.754288,10.1.0.21,19,0.0001
1749484718.231775,10.1.0.21,19,0.0001
1749484741.673580,10.1.0.21,19,0.0000
1749484763.919402,10.1.0.21,19,0.0000
1749484785.378039,10.1.0.21,19,0.0001
1749484807.285864,10.1.0.21,19,0.0001
1749484829.276640,10.1.0.21,19,0.0001
1749484849.429075,10.1.0.21,19,0.0000
1749484871.000461,10.1.0.21,19,0.0000
1749484889.275020,10.1.0.21,19,0.0001
1749484906.323168,10.1.0.21,19,0.0000
1749484923.012349,10.1.0.21,19,0.0001
1749484940.185038,10.1.0.21,19,0.0001
