config,tp,tn,fp,fn,acc,prec,rec,f1
benign,0,1753,322,2,0.8440057775637939,0.0,0.0,0.0
pps1_nop2_d0,2564,0,0,363,0.8759822343696617,1.0,0.8759822343696617,0.9338918229830632
pps1_nop2_d0.01,1749,0,2,256,0.8714499252615845,0.9988577955454027,0.8723192019950124,0.9313099041533547
pps1_nop2_d0.05,1821,0,0,263,0.8738003838771593,1.0,0.8738003838771593,0.9326504481434059
pps1_nop3_d0,1703,0,0,414,0.8044402456306093,1.0,0.8044402456306093,0.8916230366492146
pps1_nop3_d0.01,1138,0,0,308,0.7869986168741355,1.0,0.7869986168741355,0.8808049535603715
pps1_nop3_d0.05,1208,0,0,316,0.7926509186351706,1.0,0.7926509186351706,0.8843338213762811
pps1_nop4_d0,1398,0,0,301,0.8228369629193644,1.0,0.8228369629193644,0.9028091701646755
pps1_nop4_d0.01,940,0,0,222,0.8089500860585198,1.0,0.8089500860585198,0.8943862987630827
pps1_nop4_d0.05,978,0,3,232,0.8062654575432812,0.9969418960244648,0.8082644628099174,0.8927430397078959
pps2_nop2_d0,4892,0,2,476,0.9109869646182496,0.9995913363302003,0.9113263785394933,0.9534203858896901
pps2_nop2_d0.01,3310,0,2,345,0.9051134809953514,0.9993961352657005,0.905608755129959,0.950193770632984
pps2_nop2_d0.05,3426,0,2,419,0.8905640759033012,0.9994165694282381,0.8910273081924578,0.9421146706998488
pps2_nop3_d0,3203,0,0,566,0.8498275404616609,1.0,0.8498275404616609,0.9188181296615031
pps2_nop3_d0.01,2156,0,0,396,0.8448275862068966,1.0,0.8448275862068966,0.9158878504672897
pps2_nop3_d0.05,2301,0,0,401,0.8515914137675795,1.0,0.8515914137675795,0.9198480911453129
pps2_nop4_d0,2551,0,0,375,0.8718386876281613,1.0,0.8718386876281613,0.9315318605075772
pps2_nop4_d0.01,1732,0,0,267,0.8664332166083042,1.0,0.8664332166083042,0.9284374162422943
pps2_nop4_d0.05,1800,0,0,286,0.862895493767977,1.0,0.862895493767977,0.9264024704065877
pps3_nop2_d0,6245,0,0,557,0.91811231990591,1.0,0.91811231990591,0.957308193454434
pps3_nop2_d0.01,4868,0,0,431,0.9186638988488394,1.0,0.9186638988488394,0.957607947280417
pps3_nop2_d0.05,4137,0,0,1449,0.7406015037593985,1.0,0.7406015037593985,0.8509719222462203
pps3_nop3_d0,3192,0,0,462,0.8735632183908046,1.0,0.8735632183908046,0.9325153374233128
pps3_nop3_d0.01,3202,0,0,464,0.8734315330060011,1.0,0.8734315330060011,0.9324403028538147
pps3_nop3_d0.05,3394,0,0,474,0.8774560496380558,1.0,0.8774560496380558,0.934728724869182
pps3_nop4_d0,2501,0,0,319,0.8868794326241135,1.0,0.8868794326241135,0.9400488629956775
pps3_nop4_d0.01,2499,0,0,319,0.8867991483321505,1.0,0.8867991483321505,0.9400037615196539
pps3_nop4_d0.05,2635,0,0,330,0.8887015177065767,1.0,0.8887015177065767,0.9410714285714286
