ts,dst,port,bytes,rtt
1749483841.133974,10.0.0.21,8888,19,0.1145
1749483854.231498,10.0.0.21,8888,19,0.1977
1749483867.069409,10.0.0.21,8888,19,0.0351
1749483881.152721,10.0.0.21,8888,19,0.0451
1749483895.160074,10.0.0.21,8888,19,0.0332
1749483909.258603,10.0.0.21,8888,19,0.0335
1749483922.365615,10.0.0.21,8888,19,0.1342
1749483936.554582,10.0.0.21,8888,19,0.1707
1749483949.483340,10.0.0.21,8888,19,0.0164
1749483963.647363,10.0.0.21,8888,19,0.0435
1749483976.625160,10.0.0.21,8888,19,0.0561
1749483988.312083,10.0.0.21,8888,19,0.1424
1749484000.677494,10.0.0.21,8888,19,0.1933
1749484013.072651,10.0.0.21,8888,19,0.2299
1749484025.381393,10.0.0.21,8888,19,0.1861
1749484037.593077,10.0.0.21,8888,19,0.0541
1749484049.249277,10.0.0.21,8888,19,0.1075
1749484060.385431,10.0.0.21,8888,19,0.0435
1749484071.960150,10.0.0.21,8888,19,0.0432
1749484083.968268,10.0.0.21,8888,19,0.0491
1749484095.501463,10.0.0.21,8888,19,0.0204
1749484106.078596,10.0.0.21,8888,19,0.1015
1749484117.223477,10.0.0.21,8888,19,0.0324
1749484128.499195,10.0.0.21,8888,19,0.0646
1749484139.756301,10.0.0.21,8888,19,0.0853
1749484150.683853,10.0.0.21,8888,19,0.1410
1749484162.103578,10.0.0.21,8888,19,0.0369
1749484173.644849,10.0.0.21,8888,19,0.3648
1749484184.238524,10.0.0.21,8888,19,0.1236
1749484195.448603,10.0.0.21,8888,19,0.1071
1749484206.716692,10.0.0.21,8888,19,0.1568
1749484224.157156,10.0.0.21,8888,19,0.1144
1749484240.289744,10.0.0.21,8888,19,0.1538
1749484258.558707,10.0.0.21,8888,19,0.0380
1749484275.856220,10.0.0.21,8888,19,0.0256
1749484292.712248,10.0.0.21,8888,19,0.0653
1749484309.935207,10.0.0.21,8888,19,0.2336
1749484328.785503,10.0.0.21,8888,19,0.0955
1749484345.154549,10.0.0.21,8888,19,0.0636
1749484361.480081,10.0.0.21,8888,19,0.0528
1749484378.667026,10.0.0.21,8888,19,0.0613
1749484393.307984,10.0.0.21,8888,19,0.1101
1749484408.508787,10.0.0.21,8888,19,0.0716
1749484423.571795,10.0.0.21,8888,19,0.2065
1749484438.380414,10.0.0.21,8888,19,0.1472
1749484453.211732,10.0.0.21,8888,19,0.0107
1749484467.125862,10.0.0.21,8888,19,0.0720
1749484480.909667,10.0.0.21,8888,19,0.0400
1749484494.312664,10.0.0.21,8888,19,0.0858
1749484508.820291,10.0.0.21,8888,19,0.0815
1749484522.616465,10.0.0.21,8888,19,0.0827
1749484535.707425,10.0.0.21,8888,19,0.1282
1749484548.754874,10.0.0.21,8888,19,0.1004
1749484561.457691,10.0.0.21,8888,19,0.0830
1749484574.252619,10.0.0.21,8888,19,0.1901
1749484587.969484,10.0.0.21,8888,19,0.1642
1749484601.855423,10.0.0.21,8888,19,0.2352
1749484615.445126,10.0.0.21,8888,19,0.0600
1749484628.029079,10.0.0.21,8888,19,0.2399
1749484640.912950,10.0.0.21,8888,19,0.0985
1749484653.736876,10.0.0.21,8888,19,0.2456
1749484675.950370,10.0.0.21,8888,19,0.1548
1749484696.759737,10.0.0.21,8888,19,0.1163
1749484718.281643,10.0.0.21,8888,19,0.0970
1749484741.731627,10.0.0.21,8888,19,0.1027
1749484764.021348,10.0.0.21,8888,19,0.1842
1749484785.388735,10.0.0.21,8888,19,0.0538
1749484807.321950,10.0.0.21,8888,19,0.0498
1749484829.364569,10.0.0.21,8888,19,0.1550
1749484849.522202,10.0.0.21,8888,19,0.0974
1749484871.007101,10.0.0.21,8888,19,0.0308
1749484889.397625,10.0.0.21,8888,19,0.1988
1749484906.337261,10.0.0.21,8888,19,0.0613
1749484923.045172,10.0.0.21,8888,19,0.1011
1749484940.215927,10.0.0.21,8888,19,0.1646
1749484957.184016,10.0.0.21,8888,19,0.0412
1749484973.660494,10.0.0.21,8888,19,0.0872
1749484991.951155,10.0.0.21,8888,19,0.1582
1749485009.123249,10.0.0.21,8888,19,0.0576
1749485026.758718,10.0.0.21,8888,19,0.1048
1749485045.017703,10.0.0.21,8888,19,0.1541
1749485060.388284,10.0.0.21,8888,19,0.2780
1749485075.467441,10.0.0.21,8888,19,0.0693
1749485091.517673,10.0.0.21,8888,19,0.0222
1749485106.118151,10.0.0.21,8888,19,0.0521
1749485122.126529,10.0.0.21,8888,19,0.0349
1749485137.086686,10.0.0.21,8888,19,0.1102
1749485152.773277,10.0.0.21,8888,19,0.4535
1749485167.999632,10.0.0.21,8888,19,0.0638
1749485184.412847,10.0.0.21,8888,19,0.1095
1749485200.723459,10.0.0.21,8888,19,0.0505
1749485214.929395,10.0.0.21,8888,19,0.0256
1749485228.434972,10.0.0.21,8888,19,0.1288
1749485241.195039,10.0.0.21,8888,19,0.1607
1749485253.835120,10.0.0.21,8888,19,0.1122
1749485266.389779,10.0.0.21,8888,19,0.0341
1749485279.530466,10.0.0.21,8888,19,0.1218
1749485292.612225,10.0.0.21,8888,19,0.1682
