ts,run,truth,pred,config,delay,src,dst,proto
1749495589.870983,1,0,0,benign,0.0,,,ARP
1749495589.892290,1,0,0,benign,0.0,,,ARP
1749495590.158224,1,0,0,benign,0.0,10.1.0.21,10.0.0.21,IP
1749495590.181194,1,0,0,benign,0.0,,,ARP
1749495590.201910,1,0,0,benign,0.0,,,ARP
1749495590.234783,1,0,0,benign,0.0,10.0.0.21,10.1.0.21,IP
1749495596.462275,1,1,0,pps1_nop2_d0,0.0,,,ARP
1749495596.559746,1,1,0,pps1_nop2_d0,0.0,,,ARP
1749495596.589414,1,1,0,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495596.625205,1,1,0,pps1_nop2_d0,0.0,10.1.0.2,10.1.0.21,IP
1749495596.628572,1,1,0,pps1_nop2_d0,0.0,10.0.0.21,10.1.0.21,IP
1749495596.658268,1,1,0,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495596.750968,1,1,0,pps1_nop2_d0,0.0,10.1.0.2,10.1.0.21,IP
1749495596.754973,1,1,0,pps1_nop2_d0,0.0,10.0.0.21,10.1.0.21,IP
1749495596.788165,1,1,0,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495596.852547,1,1,0,pps1_nop2_d0,0.0,10.1.0.2,10.1.0.21,IP
1749495596.856442,1,1,0,pps1_nop2_d0,0.0,10.0.0.21,10.1.0.21,IP
1749495596.927778,1,1,0,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495596.958406,1,1,0,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495596.963890,1,1,0,pps1_nop2_d0,0.0,10.0.0.21,10.1.0.21,IP
1749495596.972009,1,1,0,pps1_nop2_d0,0.0,10.1.0.2,10.1.0.21,IP
1749495597.007527,1,1,0,pps1_nop2_d0,0.0,10.0.0.21,10.1.0.21,IP
1749495597.024407,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495597.032908,1,1,1,pps1_nop2_d0,0.0,10.1.0.2,10.1.0.21,IP
1749495597.059757,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495597.065809,1,1,1,pps1_nop2_d0,0.0,10.1.0.2,10.1.0.21,IP
1749495597.075272,1,1,1,pps1_nop2_d0,0.0,10.0.0.21,10.1.0.21,IP
1749495597.093249,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495597.216559,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495597.230419,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495597.292541,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495597.381866,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495597.406989,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495597.448386,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495597.592501,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495597.602258,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495597.618345,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495597.623239,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495597.627974,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495597.631669,1,1,1,pps1_nop2_d0,0.0,10.0.0.21,10.1.0.21,IP
1749495597.733459,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495597.802725,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495597.900006,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495597.918884,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495597.977378,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495598.176163,1,1,1,pps1_nop2_d0,0.0,10.1.0.2,10.1.0.21,IP
1749495598.247765,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495598.288471,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495598.324298,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495598.387636,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495598.456151,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495598.517624,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495598.710629,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495598.714905,1,1,1,pps1_nop2_d0,0.0,10.0.0.21,10.1.0.21,IP
1749495598.728617,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495598.746949,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495598.769171,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495598.790226,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495598.841730,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495598.861436,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495598.906123,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495598.997203,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.033017,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.041335,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.175571,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.207343,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.275234,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.289052,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.384776,1,1,1,pps1_nop2_d0,0.0,10.1.0.2,10.1.0.21,IP
1749495599.475011,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.501480,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.559059,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.587537,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.604400,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.625227,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.628917,1,1,1,pps1_nop2_d0,0.0,10.0.0.21,10.1.0.21,IP
1749495599.685219,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.769593,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.782519,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.839348,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.856155,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.874722,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.920233,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.975217,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495599.979382,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495600.034595,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495600.102342,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495600.107337,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495600.111032,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495600.218306,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495600.271552,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495600.273360,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495600.353273,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495600.366173,1,1,1,pps1_nop2_d0,0.0,10.1.0.2,10.1.0.21,IP
1749495600.459172,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495600.483483,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495600.658584,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495600.662502,1,1,1,pps1_nop2_d0,0.0,10.0.0.21,10.1.0.21,IP
1749495600.776582,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495600.806549,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495600.844743,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495600.877567,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495601.044992,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495601.057444,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495601.197318,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495601.213346,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495601.265368,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495601.267609,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495601.278809,1,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495601.874434,1,1,1,pps1_nop2_d0,0.0,,,ARP
1749495601.893736,1,1,1,pps1_nop2_d0,0.0,,,ARP
1749495602.901502,2,0,1,benign,0.0,10.1.0.21,10.0.0.21,IP
1749495603.006998,2,0,1,benign,0.0,10.0.0.21,10.1.0.21,IP
1749495609.568924,2,1,0,pps1_nop2_d0,0.0,,,ARP
1749495609.694097,2,1,0,pps1_nop2_d0,0.0,,,ARP
1749495609.695502,2,1,0,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495609.727115,2,1,0,pps1_nop2_d0,0.0,10.1.0.2,10.1.0.21,IP
1749495609.731469,2,1,0,pps1_nop2_d0,0.0,10.0.0.21,10.1.0.21,IP
1749495609.736852,2,1,0,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495609.749531,2,1,0,pps1_nop2_d0,0.0,10.1.0.2,10.1.0.21,IP
1749495609.753878,2,1,0,pps1_nop2_d0,0.0,10.0.0.21,10.1.0.21,IP
1749495609.769152,2,1,0,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495609.800392,2,1,0,pps1_nop2_d0,0.0,10.1.0.2,10.1.0.21,IP
1749495609.835331,2,1,0,pps1_nop2_d0,0.0,10.0.0.21,10.1.0.21,IP
1749495609.872461,2,1,0,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495609.906268,2,1,0,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495609.910113,2,1,0,pps1_nop2_d0,0.0,10.0.0.21,10.1.0.21,IP
1749495610.048525,2,1,0,pps1_nop2_d0,0.0,10.1.0.2,10.1.0.21,IP
1749495610.052318,2,1,0,pps1_nop2_d0,0.0,10.0.0.21,10.1.0.21,IP
1749495610.064078,2,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495610.076777,2,1,1,pps1_nop2_d0,0.0,10.1.0.2,10.1.0.21,IP
1749495610.083581,2,1,1,pps1_nop2_d0,0.0,10.0.0.21,10.1.0.21,IP
1749495610.194763,2,1,1,pps1_nop2_d0,0.0,10.1.0.21,10.0.0.21,IP
1749495610.199881,2,1,1,pps1_nop2_d0,0.0,10.1.0.2,10.1.0.21,IP
