config,tp,tn,fp,fn,acc,prec,rec,f1
benign,0,588,128,0,0.8212290502793296,0.0,0.0,0.0
pps1_nop2_d0,884,0,1,153,0.8516377649325626,0.9988700564971752,0.8524590163934426,0.9198751300728408
pps1_nop2_d0.01,908,0,0,152,0.8566037735849057,1.0,0.8566037735849057,0.9227642276422764
pps1_nop2_d0.05,953,0,0,156,0.8593327321911632,1.0,0.8593327321911632,0.9243452958292919
pps1_nop3_d0,621,0,5,139,0.8117647058823529,0.9920127795527156,0.8171052631578948,0.8961038961038961
pps1_nop3_d0.01,624,0,0,140,0.8167539267015707,1.0,0.8167539267015707,0.899135446685879
pps1_nop3_d0.05,680,0,0,139,0.8302808302808303,1.0,0.8302808302808303,0.9072715143428952
pps1_nop4_d0,483,0,0,137,0.7790322580645161,1.0,0.7790322580645161,0.8757932910244787
pps1_nop4_d0.01,482,0,0,139,0.7761674718196457,1.0,0.7761674718196457,0.8739800543970988
pps1_nop4_d0.05,522,0,0,138,0.7909090909090909,1.0,0.7909090909090909,0.883248730964467
pps2_nop2_d0,1695,0,0,197,0.895877378435518,1.0,0.895877378435518,0.9450794535823808
pps2_nop2_d0.01,1707,0,0,194,0.8979484481851657,1.0,0.8979484481851657,0.9462305986696231
pps2_nop2_d0.05,1735,0,0,285,0.8589108910891089,1.0,0.8589108910891089,0.9241011984021305
pps2_nop3_d0,1168,0,0,167,0.8749063670411985,1.0,0.8749063670411985,0.9332800639232921
pps2_nop3_d0.01,1166,0,0,168,0.8740629685157422,1.0,0.8740629685157422,0.9328
pps2_nop3_d0.05,1260,0,0,168,0.8823529411764706,1.0,0.8823529411764706,0.9375
pps2_nop4_d0,877,0,0,169,0.8384321223709369,1.0,0.8384321223709369,0.9121164846593863
pps2_nop4_d0.01,883,0,1,168,0.8393536121673004,0.998868778280543,0.840152235965747,0.9126614987080104
pps2_nop4_d0.05,948,0,0,168,0.8494623655913979,1.0,0.8494623655913979,0.9186046511627907
pps3_nop2_d0,2432,0,0,287,0.8944464876792939,1.0,0.8944464876792939,0.9442826635604737
pps3_nop2_d0.01,2444,0,0,306,0.8887272727272727,1.0,0.8887272727272727,0.941085868309588
pps3_nop2_d0.05,2048,0,0,904,0.6937669376693767,1.0,0.6937669376693767,0.8192
pps3_nop3_d0,1700,0,0,198,0.8956796628029505,1.0,0.8956796628029505,0.9449694274596998
pps3_nop3_d0.01,1716,0,0,196,0.897489539748954,1.0,0.897489539748954,0.9459757442116868
pps3_nop3_d0.05,1842,0,0,198,0.9029411764705882,1.0,0.9029411764705882,0.9489953632148377
pps3_nop4_d0,1270,0,0,197,0.8657123381049762,1.0,0.8657123381049762,0.92802338326635
pps3_nop4_d0.01,1283,0,0,196,0.8674780256930358,1.0,0.8674780256930358,0.9290369297610427
pps3_nop4_d0.05,1376,0,2,195,0.8747616020343293,0.9985486211901307,0.875875238701464,0.9331976941336046
